股票代码,公司名称,行业,会计年度,营业收入,营业成本,销售费用,管理费用,研发费用,财务费用,资产减值损失,营业利润,利润总额,所得税费用,净利润,归母净利润,货币资金,应收账款,存货,流动资产合计,固定资产,无形资产,非流动资产合计,资产总计,短期借款,应付账款,流动负债合计,长期借款,非流动负债合计,负债合计,所有者权益合计,归母股东权益,经营活动现金流净额,投资活动现金流净额,筹资活动现金流净额,现金及等价物净增加额
00080002,消费品第003号公司,消费品,2022,30.41,23.55,2.34,2.35,0.78,0.35,0.1,0.95,0.91,0.23,0.69,0.59,5.8,3.78,6.78,17.2,11.44,4.42,16.89,34.08,4.8,2.63,8.58,4.71,4.81,13.39,20.7,17.69,0.57,-0.56,1.25,1.26
00080002,消费品第003号公司,消费品,2023,29.04,21.51,0.59,1.19,0.87,0.21,0.21,4.29,4.14,1.04,3.1,2.49,3.25,5.25,4.38,14.85,12.86,1.8,17.04,31.89,1.74,4.18,8.13,4.04,4.39,12.52,19.36,18.92,4.4,-1.51,0.51,3.4
00080003,消费品第004号公司,消费品,2019,41.35,25.74,2.64,1.38,1.05,0.6,0.55,9.38,9.78,2.58,7.2,6.77,7.52,5.7,6.74,24.64,14.35,7.42,27.11,51.75,6.84,5.41,14.58,7.59,6.72,21.3,30.45,27.36,9.33,-3.28,1.29,7.33
00080003,消费品第004号公司,消费品,2020,48.5,39.87,3.48,2.86,1.17,0.62,0.2,0.3,0.29,0.07,0.22,0.21,6.6,5.05,8.99,24.69,11.91,1.46,15.45,40.14,3.57,6.71,10.56,6.77,5.96,16.52,23.62,22.22,-0.03,-1.33,-0.85,-2.2
00080003,消费品第004号公司,消费品,2021,49.57,35.23,3.0,2.7,0.94,0.42,0.32,6.96,6.89,1.59,5.3,5.3,6.96,7.62,9.45,27.48,12.27,8.42,22.65,50.13,3.23,4.52,9.4,10.36,11.24,20.63,29.5,26.44,6.01,-2.38,-2.59,1.03
00080003,消费品第004号公司,消费品,2022,48.33,35.19,2.65,4.25,1.04,1.45,-0.28,4.04,4.0,1.02,2.98,2.65,12.3,5.07,9.56,30.15,10.98,8.08,25.12,55.27,6.71,4.11,14.18,8.84,8.57,22.75,32.52,28.93,3.12,-2.66,-0.98,-0.52
00080003,消费品第004号公司,消费品,2023,43.89,35.07,0.97,2.63,0.97,1.24,0.73,2.29,2.33,0.58,1.76,1.62,11.48,8.43,8.09,31.3,13.49,8.76,27.93,59.23,8.77,5.98,13.62,12.32,10.75,24.38,34.85,30.47,3.29,-1.89,-0.07,1.33
00080004,消费品第005号公司,消费品,2019,14.43,10.85,0.65,1.25,0.52,0.17,0.0,0.99,0.94,0.24,0.7,0.62,2.96,0.81,1.49,8.02,7.77,3.27,12.45,18.86,2.21,0.82,3.33,4.45,3.32,6.65,12.21,11.9,0.64,-0.94,0.66,0.36
00080004,消费品第005号公司,消费品,2020,14.11,8.41,1.07,1.34,,0.26,0.11,2.53,2.64,0.66,1.99,1.71,2.65,2.27,1.88,8.02,6.4,3.37,10.37,18.4,2.71,1.9,3.67,3.15,2.82,6.48,11.91,10.44,2.68,-0.9,0.23,2.01
00080004,消费品第005号公司,消费品,2021,14.82,12.28,1.03,1.25,0.43,0.28,0.12,-0.56,-0.58,0.0,-0.58,-0.54,4.05,2.17,3.08,11.07,3.8,0.71,6.71,17.78,1.18,1.63,3.76,2.28,2.51,6.27,11.51,11.16,-0.68,-0.7,0.88,-0.51
00080004,消费品第005号公司,消费品,2022,13.89,9.15,1.05,1.17,0.41,0.41,0.07,1.64,1.64,0.42,1.22,1.12,4.99,1.7,2.19,10.02,6.38,2.43,10.71,20.74,1.49,1.58,3.82,3.22,3.49,7.31,13.43,11.64,0.96,-0.75,-0.83,-0.62
00080004,消费品第005号公司,消费品,2023,14.41,10.76,0.91,1.13,0.4,0.1,0.08,1.03,1.07,0.26,0.82,0.74,5.45,0.86,2.19,10.45,6.64,1.62,10.27,20.72,3.14,2.16,4.69,3.08,2.62,7.3,13.41,12.88,0.78,-0.91,1.54,1.41
00080005,消费品第006号公司,消费品,2019,4.62,3.2,0.25,0.41,0.17,0.1,0.05,0.45,0.44,0.12,0.33,0.29,0.86,0.24,0.69,2.36,0.99,0.89,2.15,4.51,0.78,0.63,1.7,0.38,0.51,2.21,2.3,2.01,0.11,-0.15,0.06,
00080005,消费品第006号公司,消费品,2020,5.22,3.82,0.36,0.39,0.17,0.09,0.01,0.37,0.36,0.09,0.27,0.24,1.62,0.84,0.85,3.94,1.71,0.66,3.0,6.94,0.96,0.41,1.91,0.38,1.49,3.4,3.53,3.27,0.36,-0.22,-0.18,-0.05
00080005,消费品第006号公司,消费品,2021,5.21,2.88,0.15,0.49,0.14,0.03,0.03,1.49,1.43,0.37,1.06,0.9,0.59,0.84,0.58,1.89,1.88,0.5,2.85,4.74,0.52,0.73,1.52,0.58,0.8,2.32,2.41,2.39,0.97,-0.22,-0.03,0.72
00080005,消费品第006号公司,消费品,2022,5.3,3.95,0.31,0.49,0.16,0.05,-0.05,0.39,0.4,0.1,0.3,0.28,1.38,0.98,1.11,3.71,2.8,1.02,4.29,8.0,1.15,0.61,2.09,2.0,1.84,3.92,4.08,3.97,0.13,-0.43,-0.04,-0.34
00080005,消费品第006号公司,消费品,2023,5.18,3.91,0.24,0.23,0.2,0.19,0.07,2.12,0.4,0.11,0.29,0.27,1.67,0.65,0.94,3.49,1.42,0.96,2.52,6.01,0.87,0.32,1.82,0.8,1.13,2.95,3.06,3.97,0.34,-0.51,-0.13,-0.3
00080006,消费品第007号公司,消费品,2019,12.97,8.13,0.37,0.66,0.14,0.26,0.14,3.26,3.22,0.82,1.0,1.96,1.31,2.09,1.92,5.77,1.85,0.83,2.96,8.73,1.63,1.63,2.86,1.92,1.64,4.5,4.24,3.78,,,-0.52,1.43
00080006,消费品第007号公司,消费品,2020,12.8,7.5,0.69,0.51,0.15,0.23,0.0,3.72,3.72,0.85,2.86,2.44,1.68,2.03,0.86,5.1,4.26,1.24,5.74,10.84,1.85,1.42,4.44,0.72,1.14,5.58,5.26,4.66,4.01,-0.5,0.63,4.13
00080006,消费品第007号公司,消费品,2021,14.05,11.35,0.97,1.1,0.16,0.35,0.19,-0.08,-0.08,0.0,-0.08,-0.07,1.96,1.14,1.3,4.79,4.08,0.28,4.8,9.59,1.28,1.85,3.57,0.95,1.37,4.94,4.65,4.13,-0.29,-0.63,0.89,-0.03
00080006,消费品第007号公司,消费品,2022,13.76,10.08,0.76,0.7,0.17,0.26,0.01,1.78,1.77,0.41,1.36,1.34,2.4,1.23,1.34,5.56,4.1,0.82,6.05,11.61,1.92,1.04,3.44,2.02,2.54,5.98,5.63,5.49,1.71,-0.79,-0.57,0.35
00080006,消费品第007号公司,消费品,2023,12.51,9.73,0.58,1.06,0.14,0.29,0.0,0.71,0.72,0.16,0.56,0.48,2.24,1.25,1.98,6.33,1.91,1.43,3.7,10.02,1.4,0.79,3.64,1.18,1.52,5.16,4.86,4.17,0.19,-0.18,-0.52,-0.51
00080007,消费品第008号公司,消费品,2019,19.85,11.21,1.12,1.98,0.55,0.39,0.13,4.47,4.53,1.16,3.37,3.24,6.9,3.6,1.67,12.89,7.16,1.99,9.7,22.59,2.41,2.16,6.17,2.23,2.69,8.85,13.74,12.01,3.84,-1.79,-0.83,1.22
00080007,消费品第008号公司,消费品,2020,24.45,20.32,1.01,1.71,0.72,0.58,-0.09,0.2,0.2,0.05,0.15,0.13,6.9,2.27,2.09,13.72,8.44,2.16,11.72,25.44,3.29,2.82,5.66,6.1,4.31,9.97,15.47,15.26,-0.67,-1.01,0.4,-1.28
00080007,消费品第008号公司,消费品,2021,22.6,17.21,0.86,1.12,0.68,0.62,-0.06,2.18,2.2,0.6,1.6,1.55,4.23,2.4,3.46,11.72,11.63,1.16,13.85,25.57,1.57,1.47,6.23,1.98,3.79,10.02,15.55,13.48,1.01,-1.73,0.47,-0.25
00080007,消费品第008号公司,消费品,2022,23.86,20.03,1.05,0.92,0.73,0.24,0.1,0.79,0.82,0.22,0.6,0.58,6.06,4.28,2.47,14.52,6.42,3.36,10.88,25.4,3.48,1.8,7.08,2.52,2.88,9.95,15.45,15.02,1.25,-1.8,0.28,-0.26
00080007,消费品第008号公司,消费品,2023,23.76,17.88,0.6,1.4,0.76,0.15,0.055,3.1,3.23,0.85,2.39,2.18,4.58,3.17,4.94,15.24,5.51,1.98,8.3,23.53,1.98,2.83,4.76,5.83,4.47,9.22,14.31,12.48,2.79,-1.52,-0.83,0.44
00080008,消费品第009号公司,消费品,2019,16.99,11.58,0.38,0.7,0.53,0.17,0.14,3.36,3.34,0.83,2.51,2.39,3.23,2.93,1.87,8.56,3.96,0.59,5.58,14.14,0.78,2.35,2.16,3.44,2.27,4.43,9.71,9.1,1.85,,0.0,1.08
00080008,消费品第009号公司,消费品,2020,19.27,15.93,1.06,0.79,0.63,0.33,0.18,0.35,0.37,0.1,0.26,0.24,3.79,2.47,4.71,11.69,6.55,0.37,8.39,20.09,0.78,1.96,4.86,1.28,1.44,6.3,13.79,12.88,0.39,-1.91,-1.01,
00080008,消费品第009号公司,消费品,2021,19.25,11.88,1.12,1.48,0.84,0.55,-0.01,3.39,3.24,0.88,2.36,2.02,4.45,2.74,1.47,9.19,5.62,0.36,6.4,15.59,2.41,1.91,3.01,3.26,1.88,4.89,10.71,9.3,2.76,-0.72,-0.26,1.78
00080008,消费品第009号公司,消费品,2022,18.31,10.47,1.08,1.34,0.65,0.31,0.31,4.15,4.24,1.01,3.23,2.89,3.04,1.3,2.73,8.4,3.97,1.08,5.52,15.59,2.37,2.3,3.0,2.14,1.36,4.36,9.55,9.23,2.99,-0.74,-1.08,1.17
00080008,消费品第009号公司,消费品,2023,20.55,11.7,0.92,1.49,0.69,0.19,-0.18,5.48,5.62,1.27,4.34,4.14,2.85,2.12,2.6,8.52,4.94,1.75,7.59,16.1,1.96,2.18,3.76,1.02,1.29,5.05,11.06,10.27,3.4,-1.09,-1.27,1.04
00080009,消费品第010号公司,消费品,2019,40.26,25.78,1.92,3.37,1.48,1.16,-0.02,6.57,6.42,1.52,4.9,4.46,7.12,4.52,6.47,20.98,11.42,2.91,17.4,38.38,2.64,4.22,8.87,2.43,3.57,12.44,25.94,22.3,4.05,-1.86,1.11,3.29
00080009,消费品第010号公司,消费品,2020,11.54,36.41,1.38,3.99,1.93,1.31,0.88,-0.25,-0.26,0.0,-0.26,-0.24,10.26,4.82,9.96,28.92,8.05,2.42,13.78,42.7,2.65,3.45,6.32,9.09,7.52,13.84,28.86,28.76,-1.64,,1.76,-2.53
00080009,消费品第010号公司,消费品,2021,12.12,31.29,1.93,3.19,1.76,0.2,0.54,6.53,6.6,0.335,5.05,4.32,7.1,4.82,5.88,18.86,16.92,5.07,25.02,43.87,8.72,5.4,11.72,2.24,2.5,14.22,29.65,29.1,4.63,-3.19,2.77,4.21
00080009,消费品第010号公司,消费品,2022,47.2,30.16,2.19,4.27,2.06,0.8,-0.29,8.01,8.21,2.02,6.19,5.94,9.52,4.75,3.51,20.08,10.97,5.03,17.64,37.72,4.54,4.31,8.31,3.42,3.92,12.22,25.49,23.56,6.13,-3.35,-3.27,-0.49
00080009,消费品第010号公司,消费品,2023,43.33,35.66,1.93,0.84,1.15,1.23,-0.03,0.44,0.44,0.48,0.34,0.33,9.52,5.94,4.57,16.92,7.51,1.16,11.44,28.36,4.53,2.31,5.17,4.8,4.03,9.19,19.17,17.97,0.05,-1.34,1.82,0.53
00080010,消费品第011号公司,消费品,2019,6.2,4.94,0.36,0.41,0.21,0.04,0.03,0.21,0.2,0.05,0.15,0.15,0.94,1.07,1.15,3.32,1.17,0.81,1.74,5.51,0.39,0.92,1.37,0.34,0.36,1.74,3.77,3.22,-0.01,,0.44,-0.09
00080010,消费品第011号公司,消费品,2020,11.54,3.83,0.21,0.48,0.21,0.09,0.07,1.45,1.52,0.41,1.1,1.09,0.51,1.21,0.61,2.78,1.37,0.22,1.74,4.51,0.4,0.53,1.01,0.25,0.42,1.42,3.09,3.0,1.0,,0.59,1.33
00080010,消费品第011号公司,消费品,2021,6.85,4.67,0.38,0.4,0.2,0.09,0.02,1.08,1.03,0.27,0.76,0.75,1.37,1.16,0.75,3.4,2.46,0.74,3.72,7.13,0.82,1.03,1.38,1.45,0.87,2.25,4.88,4.72,0.78,-0.5,0.63,0.92
00080010,消费品第011号公司,消费品,2022,6.76,5.7,0.53,0.27,0.23,0.16,0.1,-0.24,-0.23,0.0,-0.23,-0.19,0.81,0.65,0.68,2.58,2.27,0.15,2.64,5.22,0.86,0.79,1.11,0.85,0.54,1.65,3.58,3.39,-0.14,-0.25,0.13,-0.25
00080010,消费品第011号公司,消费品,2023,7.31,4.02,0.34,0.53,0.24,0.08,-0.02,2.12,2.035,0.52,1.58,1.54,1.15,0.42,0.71,2.51,1.48,0.68,2.45,4.96,0.43,0.37,0.71,1.17,0.86,1.56,3.39,3.29,1.49,-0.18,0.49,1.79
00080011,消费品第012号公司,消费品,2019,23.25,16.75,0.61,1.07,0.84,0.17,0.26,3.54,3.68,0.91,2.78,2.33,3.48,1.69,4.82,11.64,8.55,3.04,13.79,25.43,3.76,3.29,6.77,4.14,4.79,11.56,9.22,12.92,3.47,-1.46,0.19,2.2
00080011,消费品第012号公司,消费品,2020,20.63,13.95,0.91,0.88,0.76,0.29,0.27,3.57,3.73,1.01,2.73,2.37,1.91,1.69,2.55,8.38,7.33,3.04,8.51,16.9,3.33,2.04,6.16,1.06,1.52,7.68,9.22,8.58,2.88,-0.71,0.47,2.64
00080011,消费品第012号公司,消费品,2021,24.81,18.51,0.72,0.88,1.03,0.15,0.35,3.17,3.31,0.89,2.42,1.95,3.4,2.0,2.9,10.43,4.39,3.3,9.45,19.88,3.33,2.72,5.92,3.58,3.11,9.03,10.84,10.04,3.33,-1.15,0.48,2.66
00080011,消费品第012号公司,消费品,2022,23.5,17.52,1.08,0.8,1.02,0.46,0.19,1.27,1.32,0.3,1.02,1.01,5.22,1.69,4.18,13.33,9.02,3.17,13.38,26.71,2.88,1.84,6.18,5.88,5.96,12.14,14.57,13.73,0.17,,-0.67,-2.12
00080011,消费品第012号公司,消费品,2023,23.61,18.48,0.98,0.84,0.8,0.23,0.38,1.5,1.44,0.37,1.08,0.93,5.26,4.28,2.74,13.37,5.2,1.36,8.0,21.37,2.96,2.26,5.31,5.08,4.4,9.71,11.66,10.11,0.37,-0.35,-0.19,-0.17
00080012,消费品第013号公司,消费品,2019,13.79,10.95,0.54,0.715,0.45,0.16,0.04,0.75,0.74,0.19,0.56,0.47,3.3,2.61,2.0,9.11,2.64,0.48,4.23,13.34,2.38,1.4,4.37,2.75,2.72,7.09,6.26,6.25,0.4,-0.97,-0.95,-1.52
00080012,消费品第013号公司,消费品,2020,14.94,8.63,0.62,1.06,0.57,0.15,0.28,3.65,3.64,0.82,2.82,2.33,1.89,2.42,1.42,6.18,6.89,2.48,10.94,17.12,2.02,1.74,6.45,1.76,2.64,9.09,8.03,7.83,3.21,-0.89,1.0,3.31
00080012,消费品第013号公司,消费品,2021,14.34,9.0,0.43,1.28,0.53,0.08,0.21,2.81,2.7,0.67,2.02,1.73,2.57,1.68,2.61,7.73,4.23,1.45,6.39,14.12,1.93,2.0,5.2,2.01,2.29,7.5,6.62,5.72,1.78,-0.43,-0.66,0.69
00080012,消费品第013号公司,消费品,2022,13.66,7.75,0.45,0.46,0.39,0.27,0.16,4.18,4.29,0.28,3.21,2.65,3.56,2.45,1.45,8.22,5.92,1.99,8.43,16.64,2.62,0.83,4.93,4.05,3.91,8.84,7.81,7.1,2.56,-0.57,-0.57,1.42
00080012,消费品第013号公司,消费品,2023,15.32,10.38,0.45,1.2,0.59,0.25,-0.03,2.48,2.52,0.63,1.89,1.62,3.33,1.5,2.27,7.83,5.14,1.97,7.99,15.82,2.33,2.03,6.12,0.88,2.28,8.4,7.42,7.28,1.84,-0.52,-0.46,0.87
00080013,消费品第014号公司,消费品,2019,22.56,18.3,1.05,2.18,0.87,0.34,0.37,-0.55,-0.53,0.0,-0.53,-0.52,3.75,4.4,5.44,14.24,8.41,2.99,13.4,22.68,1.75,1.21,7.48,2.44,4.55,13.13,14.5,13.5,,-0.51,-0.96,-2.54
00080013,消费品第014号公司,消费品,2020,22.54,13.23,1.12,2.2,0.62,0.36,0.27,1.32,4.63,1.24,3.39,3.17,5.31,2.85,2.37,11.83,6.5,1.8,10.85,22.68,1.18,1.77,6.23,1.9,4.55,10.78,11.9,10.98,2.46,-1.36,2.33,3.44
00080013,消费品第014号公司,消费品,2021,12.12,17.74,1.34,1.4,0.74,0.63,0.31,0.56,1.43,0.13,0.44,0.42,3.44,1.67,2.42,9.49,4.48,3.39,10.08,19.58,3.62,2.03,5.67,4.46,3.63,9.3,10.27,9.95,0.33,-1.08,0.56,-0.2
00080013,消费品第014号公司,消费品,2022,24.46,20.17,0.92,1.59,0.82,0.61,0.32,0.03,0.03,0.01,0.02,0.02,5.77,2.55,3.49,13.52,4.48,2.67,11.21,24.74,1.9,3.53,6.85,4.5,3.63,11.76,12.98,11.63,0.66,-1.55,0.47,-0.43
00080013,消费品第014号公司,消费品,2023,25.65,18.34,1.16,1.88,0.81,0.76,0.04,2.66,2.74,0.48,2.12,1.69,3.85,1.85,2.1,10.42,11.66,4.28,17.83,28.25,2.34,1.43,8.21,3.16,5.21,13.42,14.83,12.85,2.6,-0.77,-0.41,1.42
00080014,消费品第015号公司,消费品,2019,7.1,5.7,0.36,0.42,0.2,0.16,0.07,0.19,0.19,0.04,0.14,0.12,1.32,0.47,1.37,3.47,2.7,0.39,3.56,7.03,1.09,0.54,2.67,0.93,1.14,3.81,3.22,2.86,0.35,,0.41,0.29
00080014,消费品第015号公司,消费品,2020,7.41,5.63,0.3,0.68,,0.13,0.12,0.34,0.36,0.1,0.26,0.22,2.19,0.37,1.24,4.52,3.77,0.51,4.49,9.01,0.99,0.82,3.47,0.66,1.41,4.88,4.13,3.85,0.56,-0.38,0.35,0.53
00080014,消费品第015号公司,消费品,2021,9.39,6.93,0.75,0.3,0.23,0.11,-0.05,1.11,1.11,0.27,0.85,0.8,2.44,1.27,1.06,5.48,4.39,1.1,5.83,11.31,1.12,1.41,4.17,1.45,1.96,6.13,5.18,4.46,0.65,-0.39,0.5,0.76
00080014,消费品第015号公司,消费品,2022,8.07,5.95,0.45,0.59,0.17,0.1,0.07,0.75,0.75,0.2,0.56,0.5,1.93,1.34,0.9,5.48,3.13,0.36,3.93,8.33,0.68,1.11,3.41,0.55,1.1,4.51,3.82,3.65,0.73,-0.74,0.22,0.21
00080014,消费品第015号公司,消费品,2023,8.47,6.37,0.21,0.39,0.25,0.13,0.0,1.11,1.17,0.27,0.89,0.83,2.13,0.6,0.77,3.98,4.54,0.46,5.42,9.4,1.73,1.25,2.98,0.55,2.11,5.09,4.31,4.06,0.87,-0.3,0.69,1.26
00080015,消费品第016号公司,消费品,2019,17.67,12.28,0.55,0.79,0.42,0.18,0.33,3.11,3.09,0.71,2.38,1.93,2.05,2.51,2.2,7.75,6.08,2.33,9.3,17.05,1.17,1.86,4.8,4.03,4.42,9.21,7.84,7.69,3.34,-0.71,-0.29,2.35
00080015,消费品第016号公司,消费品,2020,18.74,11.81,1.38,1.24,0.37,0.39,0.24,3.32,3.36,0.81,2.54,2.11,3.32,1.19,2.2,8.49,3.36,2.2,6.17,14.66,2.29,1.8,5.15,2.01,2.78,7.92,6.74,6.37,3.07,-1.23,0.42,2.26
00080015,消费品第016号公司,消费品,2021,20.96,12.14,0.91,1.51,0.44,0.24,0.34,5.38,5.3,1.24,4.06,3.65,3.05,3.91,3.47,12.07,3.29,2.68,7.71,19.78,2.93,2.74,7.09,3.51,3.6,10.69,9.09,8.09,4.59,-1.59,-1.45,1.55
00080015,消费品第016号公司,消费品,2022,21.02,16.5,0.57,0.93,0.48,0.19,0.33,2.02,2.06,0.54,1.52,1.26,4.69,3.77,2.6,11.57,4.64,2.51,8.62,20.19,2.75,2.67,9.11,1.09,1.8,10.91,9.28,9.01,2.27,,0.72,2.23
00080015,消费品第016号公司,消费品,2023,21.14,14.13,1.53,1.69,0.42,0.21,-0.09,3.25,3.31,0.48,2.5,2.19,2.21,2.52,3.62,9.41,5.85,0.97,7.53,16.94,0.96,3.01,5.34,3.66,3.81,9.15,7.79,7.61,2.51,-1.48,-2.73,-1.7
00080016,消费品第017号公司,消费品,2019,5.5,8.53,0.4,0.37,0.17,0.06,0.06,0.87,0.85,0.22,0.63,0.54,1.14,0.57,0.46,2.89,3.03,0.36,3.92,6.81,0.75,0.76,1.18,1.57,1.09,2.19,4.54,3.9,0.59,-0.55,-0.59,-0.55
00080016,消费品第017号公司,消费品,2020,5.78,4.02,0.43,0.5,0.18,0.08,0.11,0.47,0.46,0.12,0.35,0.35,1.11,0.91,0.69,2.89,2.64,0.52,3.54,6.55,1.2,0.75,1.3,1.44,0.89,2.19,4.36,3.9,0.38,-0.32,0.05,0.11
00080016,消费品第017号公司,消费品,2021,5.77,3.63,0.33,0.33,0.17,0.08,-0.04,1.28,1.25,0.33,0.91,0.86,1.88,0.37,0.59,3.53,2.11,1.23,3.61,7.14,1.12,0.68,1.34,1.22,1.04,2.38,4.76,4.28,0.79,-0.23,-0.54,0.02
00080016,消费品第017号公司,消费品,2022,6.27,4.32,0.59,0.26,0.2,0.23,0.03,1.16,1.13,0.3,0.83,0.77,1.38,0.45,1.17,3.78,2.11,1.04,2.93,6.71,1.29,0.78,1.46,1.26,0.78,2.24,4.47,4.37,0.78,-0.58,0.23,0.43
00080016,消费品第017号公司,消费品,2023,6.1,4.14,0.22,0.37,0.17,0.09,0.02,1.09,1.09,0.25,0.83,0.76,2.0,0.91,1.11,4.72,2.29,0.69,3.3,8.02,0.7,0.55,1.2,1.61,1.47,2.68,5.34,5.02,0.89,-0.56,-0.01,0.31
00080017,消费品第018号公司,消费品,2019,6.15,3.45,0.37,0.52,0.23,0.13,0.09,1.36,1.3,0.31,0.99,0.98,0.59,1.1,0.54,2.62,2.46,0.73,3.36,5.98,1.07,0.68,1.94,0.83,0.89,2.83,3.15,2.76,1.13,-0.32,0.06,0.87
00080017,消费品第018号公司,消费品,2020,6.6,5.5,0.48,0.27,,0.07,0.08,-0.02,-0.02,0.0,-0.02,-0.02,1.04,0.75,1.14,3.07,1.55,0.35,2.32,5.4,0.88,0.97,1.65,1.14,0.9,2.55,2.84,2.69,0.14,-0.11,0.43,0.46
00080017,消费品第018号公司,消费品,2021,6.99,9.63,0.22,0.62,0.24,0.08,0.12,1.85,1.94,0.45,1.49,1.43,1.12,0.86,0.4,3.07,2.64,0.39,3.45,6.13,0.54,0.9,2.25,0.46,0.65,2.9,3.23,3.22,1.93,-0.39,-0.15,1.39
00080017,消费品第018号公司,消费品,2022,7.04,9.02,0.24,0.46,0.21,0.1,0.03,1.39,1.46,0.36,1.1,0.93,1.14,0.38,1.03,2.81,1.24,0.51,2.2,5.01,0.31,0.94,2.25,0.28,0.57,2.37,2.64,2.45,1.44,-0.41,0.66,1.68
00080017,消费品第018号公司,消费品,2023,7.94,5.16,0.26,0.65,0.23,0.22,-0.03,1.46,1.42,0.36,1.06,0.86,0.72,0.4,0.63,2.27,1.94,0.41,2.66,4.93,0.87,0.54,1.37,0.9,0.96,2.33,2.59,2.38,1.25,-0.3,0.46,1.4
